name,geoid,county,state,cases,c_avg,c_avg_100
"Broward, Florida",12011,Broward,Florida,0,536.79,27.49
"St. Clair, Michigan",26147,St. Clair,Michigan,0,43.71,27.47
"Barnes, North Dakota",38003,Barnes,North Dakota,0,2.86,27.43
"De Witt, Illinois",17039,De Witt,Illinois,0,4.29,27.41
"Bland, Virginia",51021,Bland,Virginia,0,1.71,27.3
"Dukes, Massachusetts",25007,Dukes,Massachusetts,0,4.71,27.2
"Zapata, Texas",48505,Zapata,Texas,1,3.86,27.2
"Baltimore city, Maryland",24510,Baltimore city,Maryland,0,161.14,27.15
"Lackawanna, Pennsylvania",42069,Lackawanna,Pennsylvania,0,56.86,27.12
"Danville city, Virginia",51590,Danville city,Virginia,0,10.86,27.11
"Tolland, Connecticut",09013,Tolland,Connecticut,0,40.86,27.11
"LaSalle, Illinois",17099,LaSalle,Illinois,0,29.29,26.95
"Crook, Oregon",41013,Crook,Oregon,0,6.57,26.93
"Caldwell, Kentucky",21033,Caldwell,Kentucky,0,3.43,26.9
"Hoke, North Carolina",37093,Hoke,North Carolina,0,14.86,26.9
"Tazewell, Illinois",17179,Tazewell,Illinois,0,35.43,26.88
"Plymouth, Massachusetts",25023,Plymouth,Massachusetts,0,139.86,26.83
"Lee, Illinois",17103,Lee,Illinois,0,9.14,26.82
"Calumet, Wisconsin",55015,Calumet,Wisconsin,0,13.43,26.81
"Northampton, Pennsylvania",42095,Northampton,Pennsylvania,0,81.29,26.63
"Sussex, Delaware",10005,Sussex,Delaware,0,62.14,26.53
"Peoria, Illinois",17143,Peoria,Illinois,0,47.14,26.31
"Alameda, California",06001,Alameda,California,0,438.86,26.26
"Concho, Texas",48095,Concho,Texas,0,0.71,26.2
"Pine, Minnesota",27115,Pine,Minnesota,0,7.71,26.08
"Grays Harbor, Washington",53027,Grays Harbor,Washington,0,19.57,26.07
"Chippewa, Michigan",26033,Chippewa,Michigan,0,9.71,26.01
"Foard, Texas",48155,Foard,Texas,0,0.3,25.97
"Humboldt, California",06023,Humboldt,California,0,35.0,25.82
