name,geoid,pop
"Greene County, Arkansas",05055,46317
"Hempstead County, Arkansas",05057,19694
"Hot Spring County, Arkansas",05059,33148
"Howard County, Arkansas",05061,12698
"Independence County, Arkansas",05063,37723
"Izard County, Arkansas",05065,13911
"Jackson County, Arkansas",05067,16811
"Jefferson County, Arkansas",05069,65861
"Johnson County, Arkansas",05071,25845
"Lafayette County, Arkansas",05073,6163
"Lawrence County, Arkansas",05075,16292
"Lee County, Arkansas",05077,8619
"Lincoln County, Arkansas",05079,13037
"Little River County, Arkansas",05081,11944
"Logan County, Arkansas",05083,21215
"Lonoke County, Arkansas",05085,74722
"Madison County, Arkansas",05087,16960
"Marion County, Arkansas",05089,16978
"Miller County, Arkansas",05091,42649
"Mississippi County, Arkansas",05093,39661
"Monroe County, Arkansas",05095,6683
"Montgomery County, Arkansas",05097,8611
"Nevada County, Arkansas",05099,8187
"Newton County, Arkansas",05101,7204
"Ouachita County, Arkansas",05103,22306
"Perry County, Arkansas",05105,9964
"Phillips County, Arkansas",05107,15906
"Pike County, Arkansas",05109,10066
"Poinsett County, Arkansas",05111,22660
"Polk County, Arkansas",05113,19353
"Pope County, Arkansas",05115,63789
"Prairie County, Arkansas",05117,8135
"Pulaski County, Arkansas",05119,397821
"Randolph County, Arkansas",05121,18865
"St. Francis County, Arkansas",05123,22739
"Saline County, Arkansas",05125,125233
"Scott County, Arkansas",05127,9822
"Searcy County, Arkansas",05129,7880
"Sebastian County, Arkansas",05131,128400
"Sevier County, Arkansas",05133,15783
"Sharp County, Arkansas",05135,17622
"Stone County, Arkansas",05137,12481
"Union County, Arkansas",05139,38340
"Van Buren County, Arkansas",05141,15694
"Washington County, Arkansas",05143,250057
"White County, Arkansas",05145,77207
"Woodruff County, Arkansas",05147,6116
"Yell County, Arkansas",05149,20155
"California, California",06000,39237836
"Alameda County, California",06001,1648556
"Alpine County, California",06003,1235
"Amador County, California",06005,41259
"Butte County, California",06007,208309
"Calaveras County, California",06009,46221
"Colusa County, California",06011,21917
"Contra Costa County, California",06013,1161413
"Del Norte County, California",06015,28100
"El Dorado County, California",06017,193221
"Fresno County, California",06019,1013581
"Glenn County, California",06021,28805
"Humboldt County, California",06023,136310
"Imperial County, California",06025,179851
"Inyo County, California",06027,18970
"Kern County, California",06029,917673
"Kings County, California",06031,153443
"Lake County, California",06033,68766
"Lassen County, California",06035,33159
"Los Angeles County, California",06037,9829544
"Madera County, California",06039,159410
"Marin County, California",06041,260206
"Mariposa County, California",06043,17147
"Mendocino County, California",06045,91305
"Merced County, California",06047,286461
"Modoc County, California",06049,8661
"Mono County, California",06051,13247
"Monterey County, California",06053,437325
"Napa County, California",06055,136207
"Nevada County, California",06057,103487
"Orange County, California",06059,3167809
"Placer County, California",06061,412300
"Plumas County, California",06063,19915
"Riverside County, California",06065,2458395
"Sacramento County, California",06067,1588921
"San Benito County, California",06069,66677
"San Bernardino County, California",06071,2194710
"San Diego County, California",06073,3286069
"San Francisco County, California",06075,815201
"San Joaquin County, California",06077,789410
"San Luis Obispo County, California",06079,283159
"San Mateo County, California",06081,737888
"Santa Barbara County, California",06083,446475
"Santa Clara County, California",06085,1885508
"Santa Cruz County, California",06087,267792
"Shasta County, California",06089,182139
"Sierra County, California",06091,3283
"Siskiyou County, California",06093,44118
"Solano County, California",06095,451716
"Sonoma County, California",06097,485887
"Stanislaus County, California",06099,552999
"Sutter County, California",06101,99063
"Tehama County, California",06103,65498
"Trinity County, California",06105,16060
"Tulare County, California",06107,477054
"Tuolumne County, California",06109,55810
"Ventura County, California",06111,839784
"Yolo County, California",06113,216986
"Yuba County, California",06115,83421
"Colorado, Colorado",08000,5812069
"Adams County, Colorado",08001,522140
"Alamosa County, Colorado",08003,16547
"Arapahoe County, Colorado",08005,654900
"Archuleta County, Colorado",08007,13790
"Baca County, Colorado",08009,3514
"Bent County, Colorado",08011,5759
"Boulder County, Colorado",08013,329543
"Broomfield County, Colorado",08014,75325
"Chaffee County, Colorado",08015,20074
"Cheyenne County, Colorado",08017,1707
"Clear Creek County, Colorado",08019,9446
"Conejos County, Colorado",08021,7612
"Costilla County, Colorado",08023,3625
"Crowley County, Colorado",08025,6012
"Custer County, Colorado",08027,5045
"Delta County, Colorado",08029,31661
"Denver County, Colorado",08031,711463
"Dolores County, Colorado",08033,2397
"Douglas County, Colorado",08035,368990
"Eagle County, Colorado",08037,55727
"Elbert County, Colorado",08039,27128
"El Paso County, Colorado",08041,737867
"Fremont County, Colorado",08043,49661
"Garfield County, Colorado",08045,62161
"Gilpin County, Colorado",08047,5873
"Grand County, Colorado",08049,15860
"Gunnison County, Colorado",08051,17281
"Hinsdale County, Colorado",08053,781
"Huerfano County, Colorado",08055,6920
"Jackson County, Colorado",08057,1363
"Jefferson County, Colorado",08059,579581
"Kiowa County, Colorado",08061,1452
"Kit Carson County, Colorado",08063,6950
"Lake County, Colorado",08065,7407
"La Plata County, Colorado",08067,56250
"Larimer County, Colorado",08069,362533
"Las Animas County, Colorado",08071,14633
"Lincoln County, Colorado",08073,5688
"Logan County, Colorado",08075,21487
"Mesa County, Colorado",08077,157335
"Mineral County, Colorado",08079,924
"Moffat County, Colorado",08081,13185
"Montezuma County, Colorado",08083,26175
"Montrose County, Colorado",08085,43168
"Morgan County, Colorado",08087,29008
"Otero County, Colorado",08089,18594
"Ouray County, Colorado",08091,5035
"Park County, Colorado",08093,17720
"Phillips County, Colorado",08095,4512
"Pitkin County, Colorado",08097,17348
"Prowers County, Colorado",08099,11996
"Pueblo County, Colorado",08101,169622
"Rio Blanco County, Colorado",08103,6476
"Rio Grande County, Colorado",08105,11408
"Routt County, Colorado",08107,25091
"Saguache County, Colorado",08109,6471
"San Juan County, Colorado",08111,733
"San Miguel County, Colorado",08113,8074
"Sedgwick County, Colorado",08115,2336
"Summit County, Colorado",08117,30941
"Teller County, Colorado",08119,24926
"Washington County, Colorado",08121,4861
"Weld County, Colorado",08123,340036
"Yuma County, Colorado",08125,9941
"Connecticut, Connecticut",09000,3605597
"Fairfield County, Connecticut",09001,959768
"Hartford County, Connecticut",09003,896854
"Litchfield County, Connecticut",09005,185000
"Middlesex County, Connecticut",09007,164759
"New Haven County, Connecticut",09009,863700
"New London County, Connecticut",09011,268805
"Tolland County, Connecticut",09013,150293
"Windham County, Connecticut",09015,116418
"Delaware, Delaware",10000,1003384
"Kent County, Delaware",10001,184149
"New Castle County, Delaware",10003,571708
"Sussex County, Delaware",10005,247527
"District of Columbia, District of Columbia",11000,670050
"District of Columbia, District of Columbia",11001,670050
"Florida, Florida",12000,21781128
"Alachua County, Florida",12001,279238
"Baker County, Florida",12003,28715
"Bay County, Florida",12005,179168
"Bradford County, Florida",12007,28540
"Brevard County, Florida",12009,616628
"Broward County, Florida",12011,1930983
"Calhoun County, Florida",12013,13641
"Charlotte County, Florida",12015,194843
"Citrus County, Florida",12017,158083
"Clay County, Florida",12019,222361
"Collier County, Florida",12021,385980
"Columbia County, Florida",12023,70385
"DeSoto County, Florida",12027,34408
"Dixie County, Florida",12029,17102
"Duval County, Florida",12031,999935
"Escambia County, Florida",12033,322390
"Flagler County, Florida",12035,120932
"Franklin County, Florida",12037,12572
"Gadsden County, Florida",12039,43714
"Gilchrist County, Florida",12041,18360
"Glades County, Florida",12043,12234
"Gulf County, Florida",12045,14363
"Hamilton County, Florida",12047,13993
"Hardee County, Florida",12049,25425
"Hendry County, Florida",12051,40313
"Hernando County, Florida",12053,200638
"Highlands County, Florida",12055,103296
"Hillsborough County, Florida",12057,1478194
"Holmes County, Florida",12059,19784
"Indian River County, Florida",12061,163662
"Jackson County, Florida",12063,47694
"Jefferson County, Florida",12065,14555
"Lafayette County, Florida",12067,8382
"Lake County, Florida",12069,395804
"Lee County, Florida",12071,787976
"Leon County, Florida",12073,292817
"Levy County, Florida",12075,44158
"Liberty County, Florida",12077,7900
"Madison County, Florida",12079,18288
"Manatee County, Florida",12081,412703
"Marion County, Florida",12083,385915
"Martin County, Florida",12085,159942
"Miami-Dade County, Florida",12086,2662777
"Monroe County, Florida",12087,82170
"Nassau County, Florida",12089,94189
"Okaloosa County, Florida",12091,213255
"Okeechobee County, Florida",12093,40266
"Orange County, Florida",12095,1422746
"Osceola County, Florida",12097,403282
"Palm Beach County, Florida",12099,1497987
"Pasco County, Florida",12101,584067
"Pinellas County, Florida",12103,956615
"Polk County, Florida",12105,753520
"Putnam County, Florida",12107,74167
"St. Johns County, Florida",12109,292466
"St. Lucie County, Florida",12111,343579
"Santa Rosa County, Florida",12113,193998
"Sarasota County, Florida",12115,447057
"Seminole County, Florida",12117,470093
"Sumter County, Florida",12119,135638
"Suwannee County, Florida",12121,44485
"Taylor County, Florida",12123,21815
"Union County, Florida",12125,16335
"Volusia County, Florida",12127,564412
"Wakulla County, Florida",12129,34690
"Walton County, Florida",12131,80069
"Washington County, Florida",12133,25436
"Georgia, Georgia",13000,10799566
"Appling County, Georgia",13001,18488
"Atkinson County, Georgia",13003,8391
"Bacon County, Georgia",13005,11079
"Baker County, Georgia",13007,2819
"Baldwin County, Georgia",13009,43781
"Banks County, Georgia",13011,18562
"Barrow County, Georgia",13013,86658
"Bartow County, Georgia",13015,110843
"Ben Hill County, Georgia",13017,17158
"Berrien County, Georgia",13019,18147
"Bibb County, Georgia",13021,156762
"Bleckley County, Georgia",13023,12607
"Brantley County, Georgia",13025,18101
"Brooks County, Georgia",13027,16270
"Bryan County, Georgia",13029,46938
"Bulloch County, Georgia",13031,82442
"Burke County, Georgia",13033,24310
"Butts County, Georgia",13035,25781
"Calhoun County, Georgia",13037,5509
"Camden County, Georgia",13039,55664
"Candler County, Georgia",13043,11037
"Carroll County, Georgia",13045,121968
"Catoosa County, Georgia",13047,68397
"Charlton County, Georgia",13049,12766
"Chatham County, Georgia",13051,296329
"Chattahoochee County, Georgia",13053,9048
"Chattooga County, Georgia",13055,24932
"Cherokee County, Georgia",13057,274615
"Clarke County, Georgia",13059,128711
"Clay County, Georgia",13061,2882
"Clayton County, Georgia",13063,297100
"Clinch County, Georgia",13065,6725
"Cobb County, Georgia",13067,766802
"Coffee County, Georgia",13069,43386
"Colquitt County, Georgia",13071,45812
"Columbia County, Georgia",13073,159639
"Cook County, Georgia",13075,17225
"Coweta County, Georgia",13077,149956
"Crawford County, Georgia",13079,12153
"Crisp County, Georgia",13081,19879
"Dade County, Georgia",13083,16326
"Dawson County, Georgia",13085,28497
"Decatur County, Georgia",13087,29038
"DeKalb County, Georgia",13089,757718
"Dodge County, Georgia",13091,19759
"Dooly County, Georgia",13093,10885
"Dougherty County, Georgia",13095,84844
"Douglas County, Georgia",13097,145814
"Early County, Georgia",13099,10619
"Echols County, Georgia",13101,3699
"Effingham County, Georgia",13103,66741
"Elbert County, Georgia",13105,19579
"Emanuel County, Georgia",13107,22716
"Evans County, Georgia",13109,10672
"Fannin County, Georgia",13111,25817
"Fayette County, Georgia",13113,120574
"Floyd County, Georgia",13115,98771
"Forsyth County, Georgia",13117,260206
"Franklin County, Georgia",13119,23785
"Fulton County, Georgia",13121,1065334
"Gilmer County, Georgia",13123,32026
"Glascock County, Georgia",13125,2919
"Glynn County, Georgia",13127,84739
"Gordon County, Georgia",13129,58237
"Grady County, Georgia",13131,25918
"Greene County, Georgia",13133,19536
"Gwinnett County, Georgia",13135,964546
"Habersham County, Georgia",13137,46774
"Hall County, Georgia",13139,207369
"Hancock County, Georgia",13141,8630
"Haralson County, Georgia",13143,30572
"Harris County, Georgia",13145,35626
"Hart County, Georgia",13147,26409
"Heard County, Georgia",13149,11565
"Henry County, Georgia",13151,245235
"Houston County, Georgia",13153,166829
"Irwin County, Georgia",13155,9618
"Jackson County, Georgia",13157,80286
"Jasper County, Georgia",13159,15278
"Jeff Davis County, Georgia",13161,14872
"Jefferson County, Georgia",13163,15524
"Jenkins County, Georgia",13165,8639
"Johnson County, Georgia",13167,9160
"Jones County, Georgia",13169,28400
"Lamar County, Georgia",13171,19080
"Lanier County, Georgia",13173,9907
"Laurens County, Georgia",13175,49547
"Lee County, Georgia",13177,33411
"Liberty County, Georgia",13179,65711
"Lincoln County, Georgia",13181,7749
"Long County, Georgia",13183,17152
"Lowndes County, Georgia",13185,119276
"Lumpkin County, Georgia",13187,34278
"McDuffie County, Georgia",13189,21633
"McIntosh County, Georgia",13191,11123
"Macon County, Georgia",13193,12004
"Madison County, Georgia",13195,30885
"Marion County, Georgia",13197,7440
"Meriwether County, Georgia",13199,20793
"Miller County, Georgia",13201,5919
"Mitchell County, Georgia",13205,21521
"Monroe County, Georgia",13207,28712
"Montgomery County, Georgia",13209,8653
"Morgan County, Georgia",13211,20635
"Murray County, Georgia",13213,39951
"Muscogee County, Georgia",13215,205617
"Newton County, Georgia",13217,115355
"Oconee County, Georgia",13219,43023
"Oglethorpe County, Georgia",13221,15140
"Paulding County, Georgia",13223,173780
"Peach County, Georgia",13225,28417
"Pickens County, Georgia",13227,34024
"Pierce County, Georgia",13229,19976
"Pike County, Georgia",13231,19477
"Polk County, Georgia",13233,43496
"Pulaski County, Georgia",13235,9917
"Putnam County, Georgia",13237,22585
"Quitman County, Georgia",13239,2243
"Rabun County, Georgia",13241,17119
"Randolph County, Georgia",13243,6287
"Richmond County, Georgia",13245,205673
"Rockdale County, Georgia",13247,94082
"Schley County, Georgia",13249,4478
"Screven County, Georgia",13251,14105
"Seminole County, Georgia",13253,9197
"Spalding County, Georgia",13255,67909
"Stephens County, Georgia",13257,26865
"Stewart County, Georgia",13259,5341
"Sumter County, Georgia",13261,29283
"Talbot County, Georgia",13263,5742
"Taliaferro County, Georgia",13265,1558
"Tattnall County, Georgia",13267,23052
"Taylor County, Georgia",13269,7799
"Telfair County, Georgia",13271,12414
"Terrell County, Georgia",13273,8964
"Thomas County, Georgia",13275,45842
"Tift County, Georgia",13277,41212
"Toombs County, Georgia",13279,26911
"Towns County, Georgia",13281,12875
"Treutlen County, Georgia",13283,6306
"Troup County, Georgia",13285,69720
"Turner County, Georgia",13287,8966
"Twiggs County, Georgia",13289,7856
"Union County, Georgia",13291,25521
"Upson County, Georgia",13293,27720
"Walker County, Georgia",13295,68510
"Walton County, Georgia",13297,99853
"Ware County, Georgia",13299,36033
"Warren County, Georgia",13301,5240
"Washington County, Georgia",13303,19785
"Wayne County, Georgia",13305,30380
"Webster County, Georgia",13307,2367
"Wheeler County, Georgia",13309,7471
"White County, Georgia",13311,28442
"Whitfield County, Georgia",13313,102848
"Wilcox County, Georgia",13315,8739
"Wilkes County, Georgia",13317,9513
"Wilkinson County, Georgia",13319,8831
"Worth County, Georgia",13321,20554
"Hawaii, Hawaii",15000,1441553
"Hawaii County, Hawaii",15001,202906
"Honolulu County, Hawaii",15003,1000890
"Kalawao County, Hawaii",15005,82
"Kauai County, Hawaii",15007,73454
"Maui County, Hawaii",15009,164221
"Idaho, Idaho",16000,1900923
"Ada County, Idaho",16001,511931
"Adams County, Idaho",16003,4625
"Bannock County, Idaho",16005,88263
"Bear Lake County, Idaho",16007,6545
"Benewah County, Idaho",16009,9931
"Bingham County, Idaho",16011,48876
"Blaine County, Idaho",16013,24766
"Boise County, Idaho",16015,8094
"Bonner County, Idaho",16017,49491
"Bonneville County, Idaho",16019,127930
"Boundary County, Idaho",16021,12561
"Butte County, Idaho",16023,2654
"Camas County, Idaho",16025,1139
"Canyon County, Idaho",16027,243115
"Caribou County, Idaho",16029,7111
"Cassia County, Idaho",16031,25164
"Clark County, Idaho",16033,792
"Clearwater County, Idaho",16035,8895
"Custer County, Idaho",16037,4428
"Elmore County, Idaho",16039,28827
"Franklin County, Idaho",16041,14666
"Fremont County, Idaho",16043,13592
"Gem County, Idaho",16045,19792
"Gooding County, Idaho",16047,15772
"Idaho County, Idaho",16049,17040
"Jefferson County, Idaho",16051,32202
"Jerome County, Idaho",16053,24662
"Kootenai County, Idaho",16055,179789
"Latah County, Idaho",16057,40313
"Lemhi County, Idaho",16059,8162
"Lewis County, Idaho",16061,3715
"Lincoln County, Idaho",16063,5282
"Madison County, Idaho",16065,53881
"Minidoka County, Idaho",16067,21955
"Nez Perce County, Idaho",16069,42454
"Oneida County, Idaho",16071,4611
"Owyhee County, Idaho",16073,12336
"Payette County, Idaho",16075,26350
"Power County, Idaho",16077,7950
"Shoshone County, Idaho",16079,13612
"Teton County, Idaho",16081,12267
"Twin Falls County, Idaho",16083,92243
"Valley County, Idaho",16085,12241
"Washington County, Idaho",16087,10898
"Illinois, Illinois",17000,12671469
"Adams County, Illinois",17001,64954
"Alexander County, Illinois",17003,5030
"Bond County, Illinois",17005,16596
"Boone County, Illinois",17007,53159
"Brown County, Illinois",17009,6421
"Bureau County, Illinois",17011,32883
"Calhoun County, Illinois",17013,4369
"Carroll County, Illinois",17015,15698
"Cass County, Illinois",17017,12773
"Champaign County, Illinois",17019,205943
"Christian County, Illinois",17021,33662
"Clark County, Illinois",17023,15300
"Clay County, Illinois",17025,13143
"Clinton County, Illinois",17027,36793
"Coles County, Illinois",17029,46765
"Cook County, Illinois",17031,5173146
"Crawford County, Illinois",17033,18659
"Cumberland County, Illinois",17035,10345
"DeKalb County, Illinois",17037,100414
"De Witt County, Illinois",17039,15341
"Douglas County, Illinois",17041,19722
"DuPage County, Illinois",17043,924885
"Edgar County, Illinois",17045,16520
"Edwards County, Illinois",17047,6075
"Effingham County, Illinois",17049,34430
"Fayette County, Illinois",17051,21384
"Ford County, Illinois",17053,13511
"Franklin County, Illinois",17055,37442
"Fulton County, Illinois",17057,33197
"Gallatin County, Illinois",17059,4903
"Greene County, Illinois",17061,11843
"Grundy County, Illinois",17063,52989
"Hamilton County, Illinois",17065,7911
"Hancock County, Illinois",17067,17400
"Hardin County, Illinois",17069,3650
"Henderson County, Illinois",17071,6312
"Henry County, Illinois",17073,48907
"Iroquois County, Illinois",17075,26827
"Jackson County, Illinois",17077,52565
"Jasper County, Illinois",17079,9193
"Jefferson County, Illinois",17081,36877
"Jersey County, Illinois",17083,21333
"Jo Daviess County, Illinois",17085,21939
"Johnson County, Illinois",17087,13463
"Kane County, Illinois",17089,515588
"Kankakee County, Illinois",17091,106601
"Kendall County, Illinois",17093,134867
"Knox County, Illinois",17095,49268
"Lake County, Illinois",17097,711239
"LaSalle County, Illinois",17099,108965
"Lawrence County, Illinois",17101,15152
"Lee County, Illinois",17103,34049
"Livingston County, Illinois",17105,35664
"Logan County, Illinois",17107,27992
"McDonough County, Illinois",17109,26828
"McHenry County, Illinois",17111,311122
"McLean County, Illinois",17113,170889
"Macon County, Illinois",17115,102432
"Macoupin County, Illinois",17117,44406
"Madison County, Illinois",17119,264490
"Marion County, Illinois",17121,37390
"Marshall County, Illinois",17123,11663
"Mason County, Illinois",17125,12881
"Massac County, Illinois",17127,13960
"Menard County, Illinois",17129,12164
"Mercer County, Illinois",17131,15582
"Monroe County, Illinois",17133,34932
"Montgomery County, Illinois",17135,28084
"Morgan County, Illinois",17137,32606
"Moultrie County, Illinois",17139,14510
"Ogle County, Illinois",17141,51449
"Peoria County, Illinois",17143,179432
"Perry County, Illinois",17145,20985
"Piatt County, Illinois",17147,16753
"Pike County, Illinois",17149,14618
"Pope County, Illinois",17151,3779
"Pulaski County, Illinois",17153,5065
"Putnam County, Illinois",17155,5566
"Randolph County, Illinois",17157,30142
"Richland County, Illinois",17159,15796
"Rock Island County, Illinois",17161,142909
"St. Clair County, Illinois",17163,254796
"Saline County, Illinois",17165,23320
"Sangamon County, Illinois",17167,194734
"Schuyler County, Illinois",17169,6843
"Scott County, Illinois",17171,4836
"Shelby County, Illinois",17173,20789
"Stark County, Illinois",17175,5294
"Stephenson County, Illinois",17177,44021
"Tazewell County, Illinois",17179,130413
"Union County, Illinois",17181,16923
"Vermilion County, Illinois",17183,73095
"Wabash County, Illinois",17185,11202
"Warren County, Illinois",17187,16531
"Washington County, Illinois",17189,13655
"Wayne County, Illinois",17191,15963
"White County, Illinois",17193,13784
"Whiteside County, Illinois",17195,55305
"Will County, Illinois",17197,697252
"Williamson County, Illinois",17199,66879
"Winnebago County, Illinois",17201,283119
"Woodford County, Illinois",17203,38225
"Indiana, Indiana",18000,6805985
"Adams County, Indiana",18001,35961
"Allen County, Indiana",18003,388608
"Bartholomew County, Indiana",18005,82475
"Benton County, Indiana",18007,8714
"Blackford County, Indiana",18009,12091
"Boone County, Indiana",18011,73052
"Brown County, Indiana",18013,15552
"Carroll County, Indiana",18015,20444
"Cass County, Indiana",18017,37563
"Clark County, Indiana",18019,122738
"Clay County, Indiana",18021,26410
"Clinton County, Indiana",18023,33065
"Crawford County, Indiana",18025,10514
"Daviess County, Indiana",18027,33397
"Dearborn County, Indiana",18029,50816
"Decatur County, Indiana",18031,26320
"DeKalb County, Indiana",18033,43333
"Delaware County, Indiana",18035,111871
"Dubois County, Indiana",18037,43549
"Elkhart County, Indiana",18039,206921
"Fayette County, Indiana",18041,23360
"Floyd County, Indiana",18043,80454
"Fountain County, Indiana",18045,16427
"Franklin County, Indiana",18047,22842
"Fulton County, Indiana",18049,20386
"Gibson County, Indiana",18051,32924
"Grant County, Indiana",18053,66263
"Greene County, Indiana",18055,30786
"Hamilton County, Indiana",18057,356650
"Hancock County, Indiana",18059,81789
"Harrison County, Indiana",18061,39761
"Hendricks County, Indiana",18063,179355
"Henry County, Indiana",18065,48935
"Howard County, Indiana",18067,83687
"Huntington County, Indiana",18069,36717
"Jackson County, Indiana",18071,46067
"Jasper County, Indiana",18073,33091
"Jay County, Indiana",18075,20248
"Jefferson County, Indiana",18077,33141
"Jennings County, Indiana",18079,27409
"Johnson County, Indiana",18081,164298
"Knox County, Indiana",18083,35956
"Kosciusko County, Indiana",18085,80106
"LaGrange County, Indiana",18087,40524
"Lake County, Indiana",18089,498558
"LaPorte County, Indiana",18091,112390
"Lawrence County, Indiana",18093,45070
"Madison County, Indiana",18095,130782
"Marion County, Indiana",18097,971102
"Marshall County, Indiana",18099,46121
"Martin County, Indiana",18101,9780
"Miami County, Indiana",18103,36081
"Monroe County, Indiana",18105,139875
"Montgomery County, Indiana",18107,38063
"Morgan County, Indiana",18109,72206
"Newton County, Indiana",18111,13808
"Noble County, Indiana",18113,47227
"Ohio County, Indiana",18115,5978
"Orange County, Indiana",18117,19830
"Owen County, Indiana",18119,21446
"Parke County, Indiana",18121,16407
"Perry County, Indiana",18123,19316
